pcd7,pcd8,pcds,dointr,doterm,usrtypind,east1m,north1m,gridind,oa21cd,cty25cd,ced25cd,lad25cd,wd25cd,nhser24cd,ctry25cd,rgn25cd,pcon24cd,ttwa15cd,itl25cd,npark16cd,lsoa21cd,msoa21cd,wz11cd,sicbl24cd,bua24cd,ruc21ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,icb23cd
"AL4 9HW","AL4  9HW","AL4 9HW","198001","","0","518902","0208990","1","E00120526","E10000015","E58000625","E07000240","E05013962","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023736","E02004930","E33027426","E38000079","E63999999","RSN1","1B2",51.766978,-0.278311,"E37000048","","E23000027",22903,"E54000025"
"AL4 9HX","AL4  9HX","AL4 9HX","198001","","0","517772","0209034","1","E00120522","E10000015","E58000618","E07000240","E05015801","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023735","E02004930","E33027428","E38000079","E63011552","UN1","6B2",51.767612,-0.294664,"E37000048","","E23000027",30837,"E54000025"
"AL4 9HY","AL4  9HY","AL4 9HY","198106","","0","517830","0208714","1","E00120534","E10000015","E58000618","E07000240","E05015801","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023735","E02004930","E33027428","E38000079","E63011552","UN1","5A2",51.764723,-0.293932,"E37000048","","E23000027",30837,"E54000025"
"AL4 9HZ","AL4  9HZ","AL4 9HZ","198106","","0","517813","0208997","1","E00120522","E10000015","E58000618","E07000240","E05015801","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023735","E02004930","E33027428","E38000079","E63011552","UN1","6B2",51.767270,-0.294083,"E37000048","","E23000027",30837,"E54000025"
"AL4 9JA","AL4  9JA","AL4 9JA","198001","","0","517883","0208793","1","E00120522","E10000015","E58000618","E07000240","E05015801","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023735","E02004930","E33027428","E38000079","E63011552","UN1","6B2",51.765422,-0.293138,"E37000048","","E23000027",30837,"E54000025"
"AL4 9JB","AL4  9JB","AL4 9JB","198001","","0","517953","0208670","1","E00120534","E10000015","E58000618","E07000240","E05015801","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023735","E02004930","E33027428","E38000079","E63011552","UN1","5A2",51.764302,-0.292166,"E37000048","","E23000027",30837,"E54000025"
"AL4 9JD","AL4  9JD","AL4 9JD","198001","","0","517864","0208665","1","E00120534","E10000015","E58000618","E07000240","E05015801","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023735","E02004930","E33027428","E38000079","E63011552","UN1","5A2",51.764276,-0.293457,"E37000048","","E23000027",30837,"E54000025"
"AL4 9JE","AL4  9JE","AL4 9JE","198001","","0","517952","0208615","1","E00120410","E10000015","E58000618","E07000240","E05015801","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023712","E02004931","E33027431","E38000079","E63011552","UN1","7A3",51.763808,-0.292199,"E37000048","","E23000027",26281,"E54000025"
"AL4 9JF","AL4  9JF","AL4 9JF","198001","","0","517988","0208526","1","E00120410","E10000015","E58000618","E07000240","E05015801","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023712","E02004931","E33027431","E38000079","E63011552","UN1","7A3",51.763001,-0.291708,"E37000048","","E23000027",26281,"E54000025"
"AL4 9JG","AL4  9JG","AL4 9JG","198001","","0","517843","0208922","1","E00120522","E10000015","E58000618","E07000240","E05015801","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023735","E02004930","E33027428","E38000079","E63011552","UN1","6B2",51.766590,-0.293674,"E37000048","","E23000027",30837,"E54000025"
