pcd7,pcd8,pcds,dointr,doterm,usrtypind,east1m,north1m,gridind,oa21cd,cty25cd,ced25cd,lad25cd,wd25cd,nhser24cd,ctry25cd,rgn25cd,pcon24cd,ttwa15cd,itl25cd,npark16cd,lsoa21cd,msoa21cd,wz11cd,sicbl24cd,bua24cd,ruc21ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,icb23cd
"AL1 1AA","AL1  1AA","AL1 1AA","199002","199405","1","514600","0206900","8","E00120568","E10000015","E58000666","E07000240","E05013966","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023743","E02004937","E33024349","E38000079","E63011552","UN1","5A3",51.749090,-0.341314,"E37000048","","E23000027",30564,"E54000025"
"AL1 1AB","AL1  1AB","AL1 1AB","200401","200401","1","517328","0206823","1","E00120196","E10000015","E58000664","E07000240","E05013949","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023667","E02004936","E33027453","E38000079","E63011552","UN1","5A2",51.747834,-0.301841,"E37000048","","E23000027",30628,"E54000025"
"AL1 1AD","AL1  1AD","AL1 1AD","199208","200803","1","517328","0206823","1","E00120196","E10000015","E58000664","E07000240","E05013949","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023667","E02004936","E33027453","E38000079","E63011552","UN1","5A2",51.747834,-0.301841,"E37000048","","E23000027",30628,"E54000025"
"AL1 1AE","AL1  1AE","AL1 1AE","200711","201507","1","517328","0206823","1","E00120196","E10000015","E58000664","E07000240","E05013949","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023667","E02004936","E33027453","E38000079","E63011552","UN1","5A2",51.747834,-0.301841,"E37000048","","E23000027",30628,"E54000025"
"AL1 1AF","AL1  1AF","AL1 1AF","199507","199612","1","514600","0206900","8","E00120568","E10000015","E58000666","E07000240","E05013966","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023743","E02004937","E33024349","E38000079","E63011552","UN1","5A3",51.749090,-0.341314,"E37000048","","E23000027",30564,"E54000025"
"AL1 1AG","AL1  1AG","AL1 1AG","199612","","0","515487","0206498","1","E00120543","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023741","E02004940","E33027473","E38000079","E63011552","UN1","5A2",51.745295,-0.328605,"E37000048","","E23000027",30070,"E54000025"
"AL1 1AH","AL1  1AH","AL1 1AH","199612","199912","0","515562","0206455","3","E00120543","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023741","E02004940","E33027473","E38000079","E63011552","UN1","5A2",51.744893,-0.327533,"E37000048","","E23000027",30070,"E54000025"
"AL1 1AJ","AL1  1AJ","AL1 1AJ","199612","","0","515491","0206410","1","E00120543","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023741","E02004940","E33027473","E38000079","E63011552","UN1","5A2",51.744503,-0.328576,"E37000048","","E23000027",30070,"E54000025"
"AL1 1AL","AL1  1AL","AL1 1AL","199612","200509","1","517328","0206823","1","E00120196","E10000015","E58000664","E07000240","E05013949","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023667","E02004936","E33027453","E38000079","E63011552","UN1","5A2",51.747834,-0.301841,"E37000048","","E23000027",30628,"E54000025"
"AL1 1AN","AL1  1AN","AL1 1AN","199706","199912","1","515429","0206407","6","E00120543","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023741","E02004940","E33027473","E38000079","E63011552","UN1","5A2",51.744489,-0.329474,"E37000048","","E23000027",30070,"E54000025"
"AL1 1AP","AL1  1AP","AL1 1AP","199706","199912","1","515429","0206407","6","E00120543","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023741","E02004940","E33027473","E38000079","E63011552","UN1","5A2",51.744489,-0.329474,"E37000048","","E23000027",30070,"E54000025"
"AL1 1AQ","AL1  1AQ","AL1 1AQ","199712","200308","1","515713","0206312","1","E00120543","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023741","E02004940","E33027473","E38000079","E63011552","UN1","5A2",51.743577,-0.325394,"E37000048","","E23000027",30070,"E54000025"
"AL1 1AR","AL1  1AR","AL1 1AR","200804","","0","516270","0205897","1","E00120276","E10000015","E58000664","E07000240","E05013951","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023684","E02004939","E33027469","E38000079","E63011552","UN1","5A2",51.739732,-0.317469,"E37000048","","E23000027",28935,"E54000025"
"AL1 1AS","AL1  1AS","AL1 1AS","200804","","0","515005","0206908","1","E00120492","E10000015","E58000663","E07000240","E05013964","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023726","E02004935","E33027448","E38000079","E63011552","UN1","2D2",51.749079,-0.335448,"E37000048","","E23000027",29172,"E54000025"
"AL1 1AT","AL1  1AT","AL1 1AT","201409","","0","516131","0206148","1","E00120267","E10000015","E58000664","E07000240","E05013951","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023682","E02004939","E33027467","E38000079","E63011552","UN1","5B2",51.742017,-0.319398,"E37000048","","E23000027",20975,"E54000025"
"AL1 1AU","AL1  1AU","AL1 1AU","201612","","0","516141","0206088","1","E00120267","E10000015","E58000664","E07000240","E05013951","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023682","E02004939","E33027467","E38000079","E63011552","UN1","5B2",51.741475,-0.319273,"E37000048","","E23000027",20975,"E54000025"
"AL1 1AW","AL1  1AW","AL1 1AW","201906","","0","515937","0206118","1","E00120267","E10000015","E58000664","E07000240","E05013951","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023682","E02004939","E33027467","E38000079","E63011552","UN1","5B2",51.741787,-0.322216,"E37000048","","E23000027",20975,"E54000025"
"AL1 1AX","AL1  1AX","AL1 1AX","202409","","0","515544","0206392","1","E00120543","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023741","E02004940","E33027473","E38000079","E63011552","UN1","5A2",51.744331,-0.327815,"E37000048","","E23000027",30070,"E54000025"
"AL1 1AZ","AL1  1AZ","AL1 1AZ","199501","200102","1","516270","0205372","1","E00120277","E10000015","E58000664","E07000240","E05013951","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023684","E02004939","E33027469","E38000079","E63011552","UN1","5A2",51.735014,-0.317645,"E37000048","","E23000027",28935,"E54000025"
"AL1 1BA","AL1  1BA","AL1 1BA","200106","200203","1","517328","0206823","1","E00120196","E10000015","E58000664","E07000240","E05013949","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023667","E02004936","E33027453","E38000079","E63011552","UN1","5A2",51.747834,-0.301841,"E37000048","","E23000027",30628,"E54000025"
"AL1 1BB","AL1  1BB","AL1 1BB","198604","199012","1","514700","0207000","8","E00120491","E10000015","E58000663","E07000240","E05013964","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023726","E02004935","E33024341","E38000079","E63011552","UN1","5A3",51.749969,-0.339834,"E37000048","","E23000027",29172,"E54000025"
"AL1 1BE","AL1  1BE","AL1 1BE","199208","199507","1","514700","0206800","8","E00120497","E10000015","E58000663","E07000240","E05013964","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023727","E02004935","E33027448","E38000079","E63011552","UN1","3D2",51.748171,-0.339899,"E37000048","","E23000027",15120,"E54000025"
"AL1 1BF","AL1  1BF","AL1 1BF","199702","200009","1","514700","0206600","8","E00120561","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023740","E02004940","E33027472","E38000079","E63011552","UN1","5A3",51.746374,-0.339965,"E37000048","","E23000027",27694,"E54000025"
"AL1 1BH","AL1  1BH","AL1 1BH","199101","","0","514836","0206657","1","E00120559","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023740","E02004940","E33027472","E38000079","E63011552","UN1","4A1",51.746858,-0.337977,"E37000048","","E23000027",27694,"E54000025"
"AL1 1BT","AL1  1BT","AL1 1BT","198001","201408","1","514646","0206977","1","E00120568","E10000015","E58000666","E07000240","E05013966","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023743","E02004937","E33024349","E38000079","E63011552","UN1","5A3",51.749773,-0.340623,"E37000048","","E23000027",30564,"E54000025"
"AL1 1BU","AL1  1BU","AL1 1BU","198307","202411","1","514643","0206972","1","E00120568","E10000015","E58000666","E07000240","E05013966","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023743","E02004937","E33024349","E38000079","E63011552","UN1","5A3",51.749729,-0.340668,"E37000048","","E23000027",30564,"E54000025"
"AL1 1BX","AL1  1BX","AL1 1BX","198001","","0","514621","0206900","1","E00120568","E10000015","E58000666","E07000240","E05013966","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023743","E02004937","E33024349","E38000079","E63011552","UN1","5A3",51.749086,-0.341010,"E37000048","","E23000027",30564,"E54000025"
"AL1 1BY","AL1  1BY","AL1 1BY","198001","","0","514582","0206986","1","E00120568","E10000015","E58000666","E07000240","E05013966","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023743","E02004937","E33024349","E38000079","E63011552","UN1","5A3",51.749867,-0.341547,"E37000048","","E23000027",30564,"E54000025"
"AL1 1BZ","AL1  1BZ","AL1 1BZ","198001","","0","514667","0207047","1","E00120568","E10000015","E58000666","E07000240","E05013966","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023743","E02004937","E33024349","E38000079","E63011552","UN1","5A3",51.750398,-0.340296,"E37000048","","E23000027",30564,"E54000025"
"AL1 1DA","AL1  1DA","AL1 1DA","199612","200011","0","514600","0207000","8","E00120568","E10000015","E58000666","E07000240","E05013966","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023743","E02004937","E33024349","E38000079","E63011552","UN1","5A3",51.749989,-0.341281,"E37000048","","E23000027",30564,"E54000025"
"AL1 1DB","AL1  1DB","AL1 1DB","199208","200602","1","517328","0206823","1","E00120196","E10000015","E58000664","E07000240","E05013949","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023667","E02004936","E33027453","E38000079","E63011552","UN1","5A2",51.747834,-0.301841,"E37000048","","E23000027",30628,"E54000025"
"AL1 1DD","AL1  1DD","AL1 1DD","198001","201701","1","514658","0207037","1","E00120568","E10000015","E58000666","E07000240","E05013966","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023743","E02004937","E33024349","E38000079","E63011552","UN1","5A3",51.750310,-0.340429,"E37000048","","E23000027",30564,"E54000025"
"AL1 1DE","AL1  1DE","AL1 1DE","198001","200901","1","514654","0206997","1","E00120568","E10000015","E58000666","E07000240","E05013966","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023743","E02004937","E33024349","E38000079","E63011552","UN1","5A3",51.749951,-0.340501,"E37000048","","E23000027",30564,"E54000025"
"AL1 1DF","AL1  1DF","AL1 1DF","199412","199912","1","515429","0206407","6","E00120543","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023741","E02004940","E33027473","E38000079","E63011552","UN1","5A2",51.744489,-0.329474,"E37000048","","E23000027",30070,"E54000025"
"AL1 1DG","AL1  1DG","AL1 1DG","198001","","0","514450","0206754","1","E00120563","E10000015","E58000666","E07000240","E05013966","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023743","E02004937","E33027457","E38000079","E63011552","UN1","5B1",51.747809,-0.343534,"E37000048","","E23000027",30564,"E54000025"
"AL1 1DH","AL1  1DH","AL1 1DH","198001","","0","514562","0206730","1","E00120568","E10000015","E58000666","E07000240","E05013966","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023743","E02004937","E33024349","E38000079","E63011552","UN1","5A3",51.747570,-0.341921,"E37000048","","E23000027",30564,"E54000025"
"AL1 1DJ","AL1  1DJ","AL1 1DJ","198001","198512","1","514600","0207000","8","E00120568","E10000015","E58000666","E07000240","E05013966","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023743","E02004937","E33024349","E38000079","E63011552","UN1","5A3",51.749989,-0.341281,"E37000048","","E23000027",30564,"E54000025"
"AL1 1DL","AL1  1DL","AL1 1DL","198001","199507","1","514600","0206900","8","E00120568","E10000015","E58000666","E07000240","E05013966","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023743","E02004937","E33024349","E38000079","E63011552","UN1","5A3",51.749090,-0.341314,"E37000048","","E23000027",30564,"E54000025"
"AL1 1DN","AL1  1DN","AL1 1DN","199301","199412","1","515400","0206000","8","E00120547","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023741","E02004940","E33027473","E38000079","E63011552","UN1","4A1",51.740837,-0.330029,"E37000048","","E23000027",30070,"E54000025"
"AL1 1DQ","AL1  1DQ","AL1 1DQ","198001","","0","514535","0206712","1","E00120563","E10000015","E58000666","E07000240","E05013966","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023743","E02004937","E33027457","E38000079","E63011552","UN1","5B1",51.747414,-0.342317,"E37000048","","E23000027",30564,"E54000025"
"AL1 1DR","AL1  1DR","AL1 1DR","199612","200009","1","515429","0206407","6","E00120543","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023741","E02004940","E33027473","E38000079","E63011552","UN1","5A2",51.744489,-0.329474,"E37000048","","E23000027",30070,"E54000025"
"AL1 1DS","AL1  1DS","AL1 1DS","198001","","0","516206","0205060","1","E00120279","E10000015","E58000664","E07000240","E05013951","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023684","E02004939","E33027469","E38000079","E63011616","UN1","5A2",51.732223,-0.318675,"E37000048","","E23000027",28935,"E54000025"
"AL1 1DT","AL1  1DT","AL1 1DT","200206","","1","514683","0207009","1","E00120481","E10000015","E58000663","E07000240","E05013964","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023727","E02004935","E33024335","E38000079","E63011552","UN1","2D1",51.750053,-0.340077,"E37000048","","E23000027",15120,"E54000025"
"AL1 1DU","AL1  1DU","AL1 1DU","198001","","0","516406","0204949","1","E00120279","E10000015","E58000664","E07000240","E05013951","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023684","E02004939","E33027469","E38000079","E63011616","UN1","5A2",51.731184,-0.315817,"E37000048","","E23000027",28935,"E54000025"
"AL1 1DW","AL1  1DW","AL1 1DW","199301","","0","514574","0206924","1","E00120568","E10000015","E58000666","E07000240","E05013966","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023743","E02004937","E33024349","E38000079","E63011552","UN1","5A3",51.749311,-0.341683,"E37000048","","E23000027",30564,"E54000025"
"AL1 1DX","AL1  1DX","AL1 1DX","198001","","0","517369","0205031","1","E00120279","E10000015","E58000664","E07000240","E05013951","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023684","E02004939","E33027469","E38000079","E63011616","UN1","5A2",51.731720,-0.301852,"E37000048","","E23000027",28935,"E54000025"
"AL1 1DY","AL1  1DY","AL1 1DY","199712","200006","1","515429","0206407","6","E00120543","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023741","E02004940","E33027473","E38000079","E63011552","UN1","5A2",51.744489,-0.329474,"E37000048","","E23000027",30070,"E54000025"
"AL1 1DZ","AL1  1DZ","AL1 1DZ","198001","","0","517178","0204999","1","E00120279","E10000015","E58000664","E07000240","E05013951","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023684","E02004939","E33027469","E38000079","E63011616","UN1","5A2",51.731472,-0.304628,"E37000048","","E23000027",28935,"E54000025"
"AL1 1EA","AL1  1EA","AL1 1EA","198001","","0","517049","0205034","1","E00120279","E10000015","E58000664","E07000240","E05013951","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023684","E02004939","E33027469","E38000079","E63011616","UN1","5A2",51.731814,-0.306483,"E37000048","","E23000027",28935,"E54000025"
"AL1 1EB","AL1  1EB","AL1 1EB","198001","","0","516955","0205198","1","E00120279","E10000015","E58000664","E07000240","E05013951","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023684","E02004939","E33027469","E38000079","E63011616","UN1","5A2",51.733307,-0.307788,"E37000048","","E23000027",28935,"E54000025"
"AL1 1ED","AL1  1ED","AL1 1ED","199301","199405","1","516900","0205100","8","E00120279","E10000015","E58000664","E07000240","E05013951","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023684","E02004939","E33027469","E38000079","E63011616","UN1","5A2",51.732438,-0.308617,"E37000048","","E23000027",28935,"E54000025"
"AL1 1EE","AL1  1EE","AL1 1EE","198001","","0","516924","0205062","1","E00120279","E10000015","E58000664","E07000240","E05013951","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023684","E02004939","E33027469","E38000079","E63011616","UN1","5A2",51.732092,-0.308283,"E37000048","","E23000027",28935,"E54000025"
"AL1 1EF","AL1  1EF","AL1 1EF","198001","199912","0","516906","0204911","1","E00120279","E10000015","E58000664","E07000240","E05013951","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023684","E02004939","E33027469","E38000079","E63011616","UN1","5A2",51.730738,-0.308594,"E37000048","","E23000027",28935,"E54000025"
"AL1 1EG","AL1  1EG","AL1 1EG","198001","","0","516919","0204898","1","E00120279","E10000015","E58000664","E07000240","E05013951","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023684","E02004939","E33027469","E38000079","E63011616","UN1","5A2",51.730619,-0.308410,"E37000048","","E23000027",28935,"E54000025"
"AL1 1EP","AL1  1EP","AL1 1EP","198001","199012","1","514600","0207000","8","E00120568","E10000015","E58000666","E07000240","E05013966","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023743","E02004937","E33024349","E38000079","E63011552","UN1","5A3",51.749989,-0.341281,"E37000048","","E23000027",30564,"E54000025"
"AL1 1EQ","AL1  1EQ","AL1 1EQ","198001","","0","516850","0204963","1","E00120279","E10000015","E58000664","E07000240","E05013951","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023684","E02004939","E33027469","E38000079","E63011616","UN1","5A2",51.731217,-0.309387,"E37000048","","E23000027",28935,"E54000025"
"AL1 1ER","AL1  1ER","AL1 1ER","198001","","0","514725","0207048","1","E00120481","E10000015","E58000663","E07000240","E05013964","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023727","E02004935","E33024331","E38000079","E63011552","UN1","2D1",51.750395,-0.339456,"E37000048","","E23000027",15120,"E54000025"
"AL1 1ES","AL1  1ES","AL1 1ES","199208","199212","1","514700","0207000","8","E00120491","E10000015","E58000663","E07000240","E05013964","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023726","E02004935","E33024341","E38000079","E63011552","UN1","5A3",51.749969,-0.339834,"E37000048","","E23000027",29172,"E54000025"
"AL1 1ET","AL1  1ET","AL1 1ET","198001","200102","1","514710","0207046","1","E00120481","E10000015","E58000663","E07000240","E05013964","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023727","E02004935","E33024335","E38000079","E63011552","UN1","2D1",51.750380,-0.339674,"E37000048","","E23000027",15120,"E54000025"
"AL1 1EU","AL1  1EU","AL1 1EU","198001","","0","514696","0207032","1","E00120481","E10000015","E58000663","E07000240","E05013964","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023727","E02004935","E33024335","E38000079","E63011552","UN1","2D1",51.750257,-0.339881,"E37000048","","E23000027",15120,"E54000025"
"AL1 1EX","AL1  1EX","AL1 1EX","198001","","0","514732","0207015","1","E00120491","E10000015","E58000663","E07000240","E05013964","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023726","E02004935","E33024341","E38000079","E63011552","UN1","5A3",51.750097,-0.339365,"E37000048","","E23000027",29172,"E54000025"
"AL1 1EY","AL1  1EY","AL1 1EY","198001","201408","0","514743","0207012","1","E00120491","E10000015","E58000663","E07000240","E05013964","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023726","E02004935","E33024341","E38000079","E63011552","UN1","5A3",51.750068,-0.339207,"E37000048","","E23000027",29172,"E54000025"
"AL1 1EZ","AL1  1EZ","AL1 1EZ","198001","","0","514683","0207003","1","E00120481","E10000015","E58000663","E07000240","E05013964","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023727","E02004935","E33024335","E38000079","E63011552","UN1","2D1",51.749999,-0.340079,"E37000048","","E23000027",15120,"E54000025"
"AL1 1FH","AL1  1FH","AL1 1FH","200012","200602","1","517328","0206823","1","E00120196","E10000015","E58000664","E07000240","E05013949","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023667","E02004936","E33027453","E38000079","E63011552","UN1","5A2",51.747834,-0.301841,"E37000048","","E23000027",30628,"E54000025"
"AL1 1FP","AL1  1FP","AL1 1FP","199512","200110","1","514661","0207056","1","E00120568","E10000015","E58000666","E07000240","E05013966","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023743","E02004937","E33024349","E38000079","E63011552","UN1","5A3",51.750480,-0.340380,"E37000048","","E23000027",30564,"E54000025"
"AL1 1HA","AL1  1HA","AL1 1HA","198001","","0","514664","0206915","1","E00120481","E10000015","E58000663","E07000240","E05013964","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023727","E02004935","E33024335","E38000079","E63011552","UN1","2D1",51.749212,-0.340383,"E37000048","","E23000027",15120,"E54000025"
"AL1 1HB","AL1  1HB","AL1 1HB","198001","","0","514642","0206886","1","E00120481","E10000015","E58000663","E07000240","E05013964","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023727","E02004935","E33024335","E38000079","E63011552","UN1","2D1",51.748956,-0.340711,"E37000048","","E23000027",15120,"E54000025"
"AL1 1HD","AL1  1HD","AL1 1HD","198001","","0","514637","0206875","1","E00120481","E10000015","E58000663","E07000240","E05013964","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023727","E02004935","E33024335","E38000079","E63011552","UN1","2D1",51.748858,-0.340787,"E37000048","","E23000027",15120,"E54000025"
"AL1 1HE","AL1  1HE","AL1 1HE","198001","","1","514637","0206875","1","E00120481","E10000015","E58000663","E07000240","E05013964","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023727","E02004935","E33024335","E38000079","E63011552","UN1","2D1",51.748858,-0.340787,"E37000048","","E23000027",15120,"E54000025"
"AL1 1HF","AL1  1HF","AL1 1HF","198001","","0","514567","0206672","1","E00120561","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023740","E02004940","E33027472","E38000079","E63011552","UN1","5A3",51.747048,-0.341867,"E37000048","","E23000027",27694,"E54000025"
"AL1 1HG","AL1  1HG","AL1 1HG","199812","","0","514690","0206958","1","E00120481","E10000015","E58000663","E07000240","E05013964","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023727","E02004935","E33024335","E38000079","E63011552","UN1","2D1",51.749593,-0.339992,"E37000048","","E23000027",15120,"E54000025"
"AL1 1HH","AL1  1HH","AL1 1HH","198001","","0","514933","0206378","1","E00120542","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023741","E02004940","E33027472","E38000079","E63011552","UN1","5A2",51.744331,-0.336665,"E37000048","","E23000027",30070,"E54000025"
"AL1 1HJ","AL1  1HJ","AL1 1HJ","198001","","0","514971","0206612","1","E00120559","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023740","E02004940","E33027472","E38000079","E63011552","UN1","4A1",51.746426,-0.336038,"E37000048","","E23000027",27694,"E54000025"
"AL1 1HL","AL1  1HL","AL1 1HL","198001","","0","515016","0206665","1","E00120560","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023740","E02004940","E33027472","E38000079","E63011552","UN1","3D2",51.746893,-0.335369,"E37000048","","E23000027",27694,"E54000025"
"AL1 1HN","AL1  1HN","AL1 1HN","198001","","0","514988","0206707","1","E00120559","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023740","E02004940","E33027472","E38000079","E63011552","UN1","4A1",51.747276,-0.335760,"E37000048","","E23000027",27694,"E54000025"
"AL1 1HP","AL1  1HP","AL1 1HP","199109","","0","514596","0206747","1","E00120561","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023740","E02004940","E33027472","E38000079","E63011552","UN1","5A3",51.747716,-0.341423,"E37000048","","E23000027",27694,"E54000025"
"AL1 1HQ","AL1  1HQ","AL1 1HQ","198001","","0","514524","0206540","1","E00120545","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023740","E02004940","E33024346","E38000079","E63011552","UN1","5A3",51.745870,-0.342533,"E37000048","","E23000027",27694,"E54000025"
"AL1 1HR","AL1  1HR","AL1 1HR","200504","","0","514543","0206562","1","E00120545","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023740","E02004940","E33024346","E38000079","E63011552","UN1","5A3",51.746064,-0.342251,"E37000048","","E23000027",27694,"E54000025"
"AL1 1HS","AL1  1HS","AL1 1HS","198109","199405","1","514500","0206500","8","E00120545","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023740","E02004940","E33024346","E38000079","E63011552","UN1","5A3",51.745516,-0.342894,"E37000048","","E23000027",27694,"E54000025"
"AL1 1HT","AL1  1HT","AL1 1HT","198803","199405","1","516200","0205300","8","E00120277","E10000015","E58000664","E07000240","E05013951","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023684","E02004939","E33027469","E38000079","E63011552","UN1","5A2",51.734381,-0.318682,"E37000048","","E23000027",28935,"E54000025"
"AL1 1HU","AL1  1HU","AL1 1HU","200608","","0","516560","0205635","1","E00120260","E10000015","E58000664","E07000240","E05013951","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023683","E02004939","E33027468","E38000079","E63011552","UN1","5A2",51.737317,-0.313359,"E37000048","","E23000027",17955,"E54000025"
"AL1 1HW","AL1  1HW","AL1 1HW","198001","","0","514936","0206689","1","E00120559","E10000015","E58000666","E07000240","E05013963","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023740","E02004940","E33027472","E38000079","E63011552","UN1","4A1",51.747125,-0.336519,"E37000048","","E23000027",27694,"E54000025"
